fear_greed_date_utc,fear_greed_market_date,fear_greed_source_timestamp_utc,fear_greed_value,fear_greed_rating,fear_greed_change_1d,fear_greed_change_5d,fear_greed_sma_5d,fear_greed_sma_20d,fear_greed_zscore_20d,fear_greed_day_of_week,spx_date,spx_match_lag_calendar_days,spx_same_trading_day,spx_day_of_week,spx_symbol,spx_open,spx_high,spx_low,spx_close,spx_adj_close,spx_volume,spx_previous_close,spx_daily_return_pct,spx_gap_pct,spx_intraday_return_pct,spx_range_pct,spx_return_1d_pct,spx_return_5d_pct,spx_return_10d_pct,spx_return_20d_pct,spx_return_60d_pct,spx_return_252d_pct,spx_sma_20d,spx_close_vs_sma_20d_pct,spx_sma_50d,spx_close_vs_sma_50d_pct,spx_sma_200d,spx_close_vs_sma_200d_pct,spx_volatility_20d_annualized_pct,spx_drawdown_from_252d_high_pct,spx_data_source,outcome_forward_return_1d_pct,outcome_forward_return_5d_pct,outcome_forward_return_10d_pct,outcome_forward_return_20d_pct,outcome_forward_return_60d_pct,outcome_forward_max_drawdown_5d_pct,outcome_forward_max_gain_5d_pct,outcome_forward_max_drawdown_20d_pct,outcome_forward_max_gain_20d_pct,outcome_forward_max_drawdown_60d_pct,outcome_forward_max_gain_60d_pct
2023-05-23,2023-05-22,2023-05-23T00:00:00Z,65.800000,greed,-2.057143,10.514286,64.857143,58.655714,1.528575,Monday,2023-05-22,0,True,Monday,^GSPC,4190.779785,4209.220215,4179.680176,4192.629883,4192.629883,3728520000,4191.979980,0.015503,-0.028631,0.044147,0.704680,0.015503,1.362338,1.317259,1.343711,5.606741,7.481557,4132.267993,1.460745,4080.251201,2.754210,3975.950364,5.449754,14.618665,-2.614752,Yahoo Finance via yfinance,-1.122203,0.307448,2.175728,4.127721,4.239105,-2.114422,0.917568,-2.114422,6.102144,-2.114422,9.884964
2023-05-24,2023-05-23,2023-05-24T00:00:00Z,61.828571,greed,-3.971429,1.571428,65.171429,59.127143,0.602841,Tuesday,2023-05-23,0,True,Tuesday,^GSPC,4176.799805,4185.680176,4142.540039,4145.580078,4145.580078,4155320000,4192.629883,-1.122203,-0.377569,-0.747456,1.028952,-1.122203,0.868152,0.641152,1.816231,4.101714,6.259867,4135.965503,0.232463,4086.047603,1.456970,3975.952314,4.266343,14.008974,-3.707612,Yahoo Finance via yfinance,-0.731860,0.826181,2.941445,5.700289,5.406478,-1.003481,2.062920,-1.003481,7.306339,-1.003481,11.132091
2023-05-25,2023-05-24,2023-05-25T00:00:00Z,62.685714,greed,0.857143,-2.228572,64.725714,59.345714,0.734781,Wednesday,2023-05-24,0,True,Wednesday,^GSPC,4132.959961,4132.959961,4103.979980,4115.240234,4115.240234,0,4145.580078,-0.731860,-0.304423,-0.428742,0.699057,-0.731860,-1.046699,-0.541369,1.460808,3.654530,3.560622,4138.928015,-0.572317,4089.966606,0.617942,3975.828215,3.506490,14.219097,-4.412337,Yahoo Finance via yfinance,0.875758,2.570440,4.342151,5.664064,6.914050,0.352100,2.847706,0.352100,8.097461,0.352100,11.951419
2023-05-26,2023-05-25,2023-05-26T00:00:00Z,65.714286,greed,3.028572,0.257143,64.777143,59.660000,1.270928,Thursday,2023-05-25,0,True,Thursday,^GSPC,4155.709961,4165.740234,4129.729980,4151.279785,4151.279785,4147760000,4115.240234,0.875758,0.983411,-0.106605,0.875046,0.875758,-1.114089,0.500159,0.385208,5.058724,5.322869,4139.724499,0.279132,4095.153604,1.370551,3975.972263,4.409174,12.766863,-3.575221,Yahoo Finance via yfinance,1.304909,3.157829,3.555050,4.276754,5.691498,0.117563,3.357763,0.117563,7.159007,0.117563,10.979507
2023-05-30,2023-05-29,2023-05-30T00:00:00Z,66.085714,greed,0.371428,-1.771429,64.422857,59.992857,1.224802,Monday,2023-05-26,3,False,Friday,^GSPC,4156.160156,4212.870117,4156.160156,4205.450195,4205.450195,3715460000,4151.279785,1.304909,0.117563,1.185951,1.366084,1.304909,0.321333,1.973049,0.862703,5.628746,5.698306,4141.523010,1.543567,4100.057007,2.570530,3975.948313,5.772255,13.270524,-2.316965,Yahoo Finance via yfinance,0.001660,1.625030,3.173976,4.112757,5.482399,-0.934509,2.231143,-0.934509,5.778692,-0.934509,9.549979
2023-05-31,2023-05-30,2023-05-31T00:00:00Z,64.171429,greed,-1.914285,-1.628571,64.097143,60.425714,0.758106,Tuesday,2023-05-30,0,True,Tuesday,^GSPC,4226.709961,4231.100098,4192.180176,4205.520020,4205.520020,4228510000,4205.450195,0.001660,0.505529,-0.501334,0.925464,0.001660,0.307448,1.673974,0.903337,3.951912,3.639373,4143.405505,1.499117,4105.834609,2.427896,3975.939563,5.774244,13.267877,-2.315344,Yahoo Finance via yfinance,-0.610862,1.862554,3.887504,4.074165,4.061092,-0.936153,2.229445,-0.936153,5.776936,-0.936153,9.548161
2023-06-01,2023-05-31,2023-06-01T00:00:00Z,68.057143,greed,3.885714,6.228572,65.342857,61.097143,1.385524,Wednesday,2023-05-31,0,True,Wednesday,^GSPC,4190.740234,4195.439941,4166.149902,4179.830078,4179.830078,5980670000,4205.520020,-0.610862,-0.351438,-0.260340,0.696467,-0.610862,0.826181,1.701506,1.462528,3.245962,0.519206,4146.418005,0.805806,4110.399810,1.689137,3975.437964,5.141374,12.738939,-2.912062,Yahoo Finance via yfinance,0.985445,2.097931,4.611665,5.182265,5.404045,-0.195940,2.857765,-0.195940,6.427059,-0.195940,10.221462
2023-06-02,2023-06-01,2023-06-02T00:00:00Z,75.428571,extreme greed,7.371428,12.742857,67.891429,62.388571,2.494279,Thursday,2023-06-01,0,True,Thursday,^GSPC,4183.029785,4232.430176,4171.640137,4221.020020,4221.020020,4391860000,4179.830078,0.985445,0.076551,0.908199,1.454366,0.985445,2.570440,1.496837,3.184502,5.886305,2.150699,4152.931506,1.639529,4114.762808,2.582341,3975.057363,6.187650,12.782739,-1.955314,Yahoo Finance via yfinance,1.453442,1.727311,4.852377,5.433754,5.029354,0.473576,1.854049,0.473576,5.625653,0.473576,9.145889
2023-06-05,2023-06-04,2023-06-05T00:00:00Z,69.485714,greed,-5.942857,3.771428,68.645714,63.168571,1.250074,Sunday,2023-06-02,2,False,Friday,^GSPC,4241.009766,4290.669922,4241.009766,4282.370117,4282.370117,4454200000,4221.020020,1.453442,0.473576,0.975248,1.176497,1.453442,3.157829,2.008559,5.445412,7.273532,4.416727,4163.989014,2.842973,4121.670811,3.898887,3974.943213,7.734121,13.120160,-0.530291,Yahoo Finance via yfinance,-0.200358,0.385061,2.970778,4.044950,5.026650,-0.497395,0.939900,-0.497395,4.112439,-0.497395,7.582243
2023-06-06,2023-06-05,2023-06-06T00:00:00Z,73.514286,greed,4.028572,7.428572,70.131429,63.987143,1.782908,Monday,2023-06-05,0,True,Monday,^GSPC,4282.990234,4299.279785,4266.819824,4273.790039,4273.790039,3813290000,4282.370117,-0.200358,0.014481,-0.214808,0.757991,-0.200358,1.625030,1.951585,3.325235,9.071999,2.321628,4170.866016,2.467690,4128.172212,3.527416,3974.941963,7.518300,11.799017,-0.729586,Yahoo Finance via yfinance,0.235390,1.524177,2.688946,4.048626,5.640897,-0.297633,1.552249,-0.297633,4.321456,-0.297633,7.798226
